#,Jugador,Ciudad,Edad,Posición,Altura,Peso
0,"Mojica Morales, Sammy","Chelsea, Massachusetts, USA",28,Escolta,75,195
1,"Thompson Jr. , Stephen","Harbor City, California",25,Armador/Escolta,77,194
2,"Gonzalez Lopez, Javier","Carolina, Puerto Rico",33,Armador,72,176
7,"Duran Colon, Cliff","Bayamón, Puerto Rico",34,Armador,76,190
8,"Wiley , Jacob","Bellevue, WA",28,Centro,80,220
10,"Doolittle , Kristian","Edmond, OK",25,Alero,79,232
13,"Rodriguez Tricoche, Angel Daniel","San Juan, Puerto Rico",30,Armador,71,180
18,"Pérez , Owen","Isabela, Puerto Rico",30,Centro,81,240
20,"Negron Nieves, Alexis J.","San Juan, Puerto Rico",24,Armador/Escolta,77,185
22,"Santiago, Jr. , Benito","Coamo, Puerto Rico",33,Escolta/Alero,77,210
24,"Pearson , Ryan","New York, New York",33,Delantero,78,220
28,"Romero Fernández, Ismael","Santa Clara, Cuba",31,Delantero/Centro,81,220
33,"Cuascut Perez, Luis D","San Juan, Puerto Rico",24,Delantero,78,210
44,"Mojica Izquierdo, Javier","Auburn, Massachussets, USA",38,Escolta,74,180
